0.5,78.9238,0.25746
0.6,44.5172,0.248157
0.7,24.9315,0.118752
0.8,15.866,0.0985689
0.9,10.2344,0.0415958
1,7.39522,0.0194909
1.1,5.56655,0.0482923
1.2,4.5051,0.036081
1.3,3.52652,0.027926
1.4,2.95893,0.0198043
1.5,2.6746,0.0200123
1.6,2.16518,0.0110785
1.7,1.91493,0.0102867
1.8,1.67764,0.0110527
1.9,1.46885,0.00850826
2,1.30607,0.00743507
2.1,1.21487,0.00532938
2.2,1.12127,0.00508572
2.3,1.01448,0.00503756
2.4,0.968293,0.00440866
2.5,0.871264,0.00402552
2.6,0.800265,0.00382599
2.7,0.755956,0.00324379
2.8,0.715929,0.00280583
2.9,0.66045,0.00329316
3,0.641984,0.00213647
