n_steps beta
10 0.01
10 0.05
10 0.07
10 0.09
10 0.1
10 0.3
10 0.5
10 0.7
10 0.9
10 1
10 1.3
10 1.5
10 1.8
10 2
10 2.3
10 2.5
10 2.8
10 3
10 3.3
10 3.6
10 4
10 4.3
10 4.6
10 5
10 6
10 7
10 8
10 9
10 10
10 20
10 30
10 50
10 90
10 100
10 200
10 400
10 500
10 700
10 800
10 1000
10 2000
10 5000
